Time,FB_Followers,FB_Shares,FB_NOP,T_Followers,T_Shares,T_NOP
15:46:40.863078,14308844,465289,4775,9645614,5,169336
13:41:06.750297,14310282,546042,4775,9646538,5,169398
15:01:48.169749,14310355,546042,4775,9646677,5,169399
16:54:03.991652,14310508,546042,4775,9647023,5,169409
18:25:03.415871,14310606,546042,4775,9647174,5,169418
18:54:34.810938,14310633,546042,4775,9647328,5,169421
2018-05-03 20:22:50.662513,14310690,546042,4775,9647467,5,169422
2018-05-06 13:28:09.784089,14319170,598505,4775,1175192,9,15255
2018-05-21 17:27:22.944902,14406558,439612,4775,56779,8040,7051
